[Result Details]
Result Name;[87,70] Base_ratio, FSAE Autocross Germany 2012
Date Created;8/11/2025 11:24:17 AM
Track;FSAE Autocross Germany 2012
Track Configuration;Closed Circuit
Vehicle;Base_ratio

[KPI Values]
Lap time [s];87.7007082459899;
Percent in Corners [%];97.9504411462063;
Percent Accelerating [%];65.8456365751903;
Percent Braking [%];7.7768651242769;
Percent Coasting [%];0;
Percent 100% Throttle [%];2.01584634951689;
Percent TCS Enabled [%];0;
Lowest Speed [km/h];32.0440528692881;
Highest Speed [km/h];62.2581709350534;
Average Speed [km/h];53.3750535289435;
Energy Spent [kJ];694.902433395977;
Fuel Consumption [kg];0.568659929129277;
Gear Shifts [-];0;
Maximum Lateral Acceleration [m/s^2];15.45294361662;
Maximum Longitudinal Acceleration [m/s^2];1.87072447172015;
Maximum Longitudinal Deceleration [m/s^2];-14.2006692915581;
Time in Sector 1 [s];28.6906466417663;
Time in Sector 2 [s];29.217344022659;
Time in Sector 3 [s];29.7927175815635;
Maximum Speed in Sector 1 [km/h];62.2581709350534;
Maximum Speed in Sector 2 [km/h];62.2581709350534;
Maximum Speed in Sector 3 [km/h];62.2581709350534;
Minimum Speed in Sector 1 [km/h];36.4270669716517;
Minimum Speed in Sector 2 [km/h];32.0440528692881;
Minimum Speed in Sector 3 [km/h];33.0860963427713;
Percent in Gear 1 [%];100;

[Vehicle Parameters]
Vehicle Mass [kg];367;
Drag Coefficient [-];0.87;
Downforce Coefficient [-];1.77;
Aero Efficiency [-];2.03448275862069;
Frontal Area [m^2];1.13;
Drivetrain Efficiency [%];94;
Tire Rolling Radius [m];0.265;
Air Density [kg/m^3];1.225;
Rev Limit [rpm];4300;
Longitudinal Friction [-];1.6;
Lateral Friction [-];1.8;
Final Drive Ratio [-];6.9;
Fuel Energy Density [J/kg];1300000;
Engine Thermal Efficiency [%];94;
Tire Rolling Drag [-];0;
Power Scaling Factor [%];100;
Aero Scaling Factor [%];100;
Grip Scaling Factor [%];80;
Mass Lateral Friction [kg];85;
Mass Longitudinal Friction [kg];85;
Gear Ratio Data [-];0;
Gear Shift Points [rpm];0;
Torque Data [N.m];0;
RPM Data [rpm];0;

[Vehicle KPIs]
Top Speed [km/h];62.2581709350534;
Acceleration Time To Speed [27,778 km/h] [s];0;
Acceleration Time For Distance [100 m] [s];19.2567207987259;
Deceleration Time For Speed [27,778 km/h] [s];0;
Deceleration Distance For Speed [27,778 km/h] [m];0;

[Simulation Results]
speed;elapsedTime;elapsedDistance;lateralAcceleration;longitudinalAcceleration;gear;gearRatio;engineSpeed;torque;power;downForce;dragForce;tractionControl;throttlePosition;brakePosition;cornerRadius;sectorIndex;maximumCornerSpeed;loadSensitiveLatGrip;loadSensitiveLongGrip;yawangle;yawvelocity;yawacceleration;xposition;yposition;trackelevation;fz;
Speed (linear);Time;Length;Acceleration (linear);Acceleration (linear);Unitless;Unitless;Speed (angular);Torque;Power;Force;Force;Ratio;Ratio;Ratio;Length;Unitless;Speed (linear);Unitless;Unitless;Angle;Speed (angular);Acceleration (angular);Length;Length;Length;Force;
km/h;s;m;m/s^2;m/s^2;-;-;rpm;N.m;kW;N;N;%;%;%;m;-;km/h;-;-;deg;rpm;deg/s^2;m;m;m;N;
56.8193995649311;0.014455933839413;0.25;13.4776101602687;1.59311372683979;1;6.9;3924.35907543891;30;13.5088484104361;305.172981997018;180.090789774751;0;23.0551011064294;0;-26.6249622582974;1;62.2581709350534;1.8;1.59201628030891;0;0;0;-0.247727501579141;0.0651028578264748;0;3905.44298199702;
56.910179807356;0.0302955943583792;0.5;-9.82266796980453;1.59199965029081;1;6.9;3930.62901618025;30;12.3484352412188;306.148909534259;150.479972482941;0;80.7356556966283;0;-25.4416603197777;1;62.2581709350534;1.59217229107544;1.8;-0.560675359336163;-4.25998708686038;-28.1637857083347;-0.494156562246005;0.139044133455382;0;3906.41890953426;
57.0007408280868;0.0461099882514673;0.75;-10.3346218688829;1.59069258436091;1;6.9;3936.88381588436;30;12.3680852740188;307.124032695795;150.959270308103;0;80.6742963132139;0;-24.258358381258;1;62.2581709350534;1.59216980400221;1.8;-1.14710015018013;-5.60860031424554;-8.93024720881856;-0.739649820954658;0.215331003690871;0;3907.3940326958;
57.0910837340802;0.0618992567228085;1;-10.8990539080054;1.58938659573649;1;6.9;3943.12355100566;30;12.3876879800363;308.098352169501;151.438173100263;0;80.6129875016571;0;-23.0750564427384;1;62.2581709350534;1.59216731897886;1.8;-1.79892595102126;-6.09070226137373;-3.1974627537438;-0.984152240142322;0.294062969820332;0;3908.3683521695;
57.1812096227128;0.0776635397094835;1.25;-10.0642792964821;1.58808168349628;1;6.9;3949.34829733694;30;12.4072435973811;309.071868642385;151.916681197105;0;80.5517292187282;0;-25.0679600852575;1;62.2581709350534;1.59216483600365;1.8;-2.40290563184008;-5.92109761967196;1.12665806374951;-1.22824865123695;0.375740507136568;0;3909.34186864239;
57.2711195818986;0.0934029758973202;1.5;-9.14979315061062;1.58677784672014;1;6.9;3955.55813001741;30;12.4267523621101;310.044582800599;152.394794935888;0;80.4905214212511;0;-27.660184246638;1;62.2581709350534;1.59216235507482;1.8;-2.94903576103061;-5.52529158173387;2.63343050367909;-1.47209959555928;0.46020448205332;0;3910.3145828006;
57.3608146902053;0.109117702736438;1.75;-8.39200367968176;1.58547508448912;1;6.9;3961.75312354077;30;12.4462145082521;311.016495329439;152.872514653453;0;80.4293640661038;0;-30.2524084080185;1;62.2581709350534;1.59215987619062;1.8;-3.44754416988283;-5.05308643788924;3.14667938780592;-1.71575506978189;0.547210554323409;0;3911.28649532944;
57.450296016968;0.124807856456547;2;-7.75380959601621;1.5841733958854;1;6.9;3967.93335176303;30;12.4656302678327;311.98760691335;153.349840686223;0;80.3682571102178;0;-32.8446325693989;1;62.2581709350534;1.59215739934931;1.8;-3.90617459940895;-4.8242900207771;1.52704079256611;-1.95925791326355;0.636558400964019;0;3912.25760691335;
