[Result Details]
Result Name;[9,88] OP peak, FSAE Skidpad
Date Created;8/11/2025 12:19:51 PM
Track;FSAE Skidpad
Track Configuration;Closed Circuit
Vehicle;OP peak

[KPI Values]
Lap time [s];9.8811769919068;
Percent in Corners [%];100;
Percent Accelerating [%];0;
Percent Braking [%];0;
Percent Coasting [%];0;
Percent 100% Throttle [%];0;
Percent TCS Enabled [%];0;
Lowest Speed [km/h];41.7768855206324;
Highest Speed [km/h];41.7768855206324;
Average Speed [km/h];41.7768855206332;
Energy Spent [kJ];9.89478750649875;
Fuel Consumption [kg];0.00809720745212663;
Gear Shifts [-];0;
Maximum Lateral Acceleration [m/s^2];-14.7582290191445;
Maximum Longitudinal Acceleration [m/s^2];0;
Maximum Longitudinal Deceleration [m/s^2];0;
Time in Sector 1 [s];4.94627585146208;
Time in Sector 2 [s];4.93490114044469;
Maximum Speed in Sector 1 [km/h];41.7768855206324;
Maximum Speed in Sector 2 [km/h];41.7768855206324;
Minimum Speed in Sector 1 [km/h];41.7768855206324;
Minimum Speed in Sector 2 [km/h];41.7768855206324;
Percent in Gear 1 [%];100;

[Vehicle Parameters]
Vehicle Mass [kg];376;
Drag Coefficient [-];0.87;
Downforce Coefficient [-];1.77;
Aero Efficiency [-];2.03448275862069;
Frontal Area [m^2];1.13;
Drivetrain Efficiency [%];94;
Tire Rolling Radius [m];0.265;
Air Density [kg/m^3];1.225;
Rev Limit [rpm];6000;
Longitudinal Friction [-];1.6;
Lateral Friction [-];1.8;
Final Drive Ratio [-];5.15;
Fuel Energy Density [J/kg];1300000;
Engine Thermal Efficiency [%];94;
Tire Rolling Drag [-];0;
Power Scaling Factor [%];100;
Aero Scaling Factor [%];100;
Grip Scaling Factor [%];80;
Mass Lateral Friction [kg];85;
Mass Longitudinal Friction [kg];85;
Gear Ratio Data [-];0;
Gear Shift Points [rpm];0;
Torque Data [N.m];0;
RPM Data [rpm];0;

[Vehicle KPIs]
Top Speed [km/h];116.391432680569;
Acceleration Time To Speed [27,778 km/h] [s];18.5580669492059;
Acceleration Time For Distance [100 m] [s];19.4202059465544;
Deceleration Time For Speed [27,778 km/h] [s];2.0085694216407;
Deceleration Distance For Speed [27,778 km/h] [m];26.6000000000001;

[Simulation Results]
speed;elapsedTime;elapsedDistance;lateralAcceleration;longitudinalAcceleration;gear;gearRatio;engineSpeed;torque;power;downForce;dragForce;tractionControl;throttlePosition;brakePosition;cornerRadius;sectorIndex;maximumCornerSpeed;loadSensitiveLatGrip;loadSensitiveLongGrip;yawangle;yawvelocity;yawacceleration;xposition;yposition;trackelevation;fz;
Speed (linear);Time;Length;Acceleration (linear);Acceleration (linear);Unitless;Unitless;Speed (angular);Torque;Power;Force;Force;Ratio;Ratio;Ratio;Length;Unitless;Speed (linear);Unitless;Unitless;Angle;Speed (angular);Acceleration (angular);Length;Length;Length;Force;
km/h;s;m;m/s^2;m/s^2;-;-;rpm;N.m;kW;N;N;%;%;%;m;-;km/h;-;-;deg;rpm;deg/s^2;m;m;m;N;
41.7768855206324;0.00861720531613603;0.1;14.7582290191445;0;1;5.15;2153.60621783669;150;33.8287673634052;164.977577221062;81.0906735493357;0;2.78175126091572;0;-9.125;1;41.7768855206324;1.8;1.59230456784602;0;0;0;0.100011946981248;0.000548092599697393;0;3853.53757722106;
41.7768855206324;0.0172344106322721;0.2;-14.7582290191445;0;1;5.15;2153.60621783669;150;33.8287673634052;164.977577221062;81.0906735493357;0;2.78175126091572;0;-9.125;1;41.7768855206324;1.8;1.59230456784602;-0.627438350106601;-8.09025544016859;-98.3160476591546;0.200111288906518;7.03202464288167E-07;0;3853.53757722106;
41.7768855206324;0.0258516159484081;0.3;-14.7582290191445;0;1;5.15;2153.60621783669;150;33.8287673634052;164.977577221062;81.0906735493357;0;2.78175126091572;0;-9.125;1;41.7768855206324;1.8;1.59230456784602;-1.25487684696548;-10.7870099923236;-32.7720491689677;0.300198616408113;-0.00164280555186276;0;3853.53757722106;
41.7768855206324;0.0344688212645441;0.4;-14.7582290191445;0;1;5.15;2153.60621783669;150;33.8287673634052;164.977577221062;81.0906735493357;0;2.78175126091572;0;-9.125;1;41.7768855206324;1.8;1.59230456784602;-1.88231555624143;-11.6859317614423;-10.9240599568365;0.400261916505647;-0.00438223614429069;0;3853.53757722106;
41.7768855206324;0.0430860265806801;0.5;-14.7582290191445;0;1;5.15;2153.60621783669;150;33.8287673634052;164.977577221062;81.0906735493357;0;2.78175126091572;0;-9.125;1;41.7768855206324;1.8;1.59230456784602;-2.50975454357417;-11.9855767821077;-3.64140716574943;0.500289179105145;-0.0082172594028622;0;3853.53757722106;
41.7768855206324;0.0517032318968162;0.6;-14.7582290191445;0;1;5.15;2153.60621783669;150;33.8287673634052;164.977577221062;81.0906735493357;0;2.78175126091572;0;-9.125;1;41.7768855206324;1.8;1.59230456784602;-3.1371938745685;-12.0854637319624;-1.21386650830351;0.600268398441812;-0.0131474145421992;0;3853.53757722106;
41.7768855206324;0.0603204372129522;0.7;-14.7582290191445;0;1;5.15;2153.60621783669;150;33.8287673634052;164.977577221062;81.0906735493357;0;2.78175126091572;0;-9.125;1;41.7768855206324;1.8;1.59230456784602;-3.76463361479078;-12.1187655029605;-0.404696554860453;0.700187574522285;-0.0191721092188567;0;3853.53757722106;
41.7768855206324;0.0689376425290882;0.8;-14.7582290191445;0;1;5.15;2153.60621783669;150;33.8287673634052;164.977577221062;81.0906735493357;0;2.78175126091572;0;-9.125;1;41.7768855206324;1.8;1.59230456784602;-4.39207382975667;-12.1298730583244;-0.134983493489685;0.80003471456619;-0.0262906196024812;0;3853.53757722106;
41.7768855206324;0.0775548478452242;0.9;-14.7582290191445;0;1;5.15;2153.60621783669;150;33.8287673634052;164.977577221062;81.0906735493357;0;2.78175126091572;0;-9.125;1;41.7768855206324;1.8;1.59230456784602;-5.01951458492829;-12.1335833850027;-0.0450893865138208;0.899797834446834;-0.0345020904627645;0;3853.53757722106;
